상품코드,브랜드명,상품명,카테고리,가격,성별,리뷰내용,옵션,키,몸무게,배송,포장,사이즈,밝기,색감,두께감,보온성,무게감,발색력,지속력,수분감,수납공간
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,색깔도 너무 예쁘고 가을 겨울에 부드럽고 따뜻하게 입을거 같아요,31,180,77,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,색감 사진과 같아 만족합니다와이드 핏 치고는 밑단 통이 넓지 않지만 활동하는데에 있어 편합니다.저같은 경우 허벅지가 두꺼움이도 불구하고 널널하게 잘 맞네요,30,178,72,-,-,보통이에요,밝아요,선명해요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,가성비 갑 무난 합니다 요즘 날씨에 입으려고코듀로이 소재의 바지를 입문하네요  길이가살짝 아쉬운데  교환하기 귀찮음으로 패스,28,180,60,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",-,"바지 좋아서 다른색으로 하나더 살려구요 봄,가을에 입기 좋은것같아요",32,0,0,-,-,커요,밝아요,선명해요,두꺼워요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",-,생각보다 얇고 좀 흐물거려서 아쉽지만 핏은 좋아요,29,0,0,-,-,보통이에요,어두워요,흐려요,얇아요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,낙낙하게 기본 코듀로이 바지입니다다른 색상도 구매하고 싶을 정도로 괜춘,31,173,67,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,제 기준에선 기장이 살짝 짧은 것 같아 아쉬운 것 빼곤 다 좋습니다.,31,181,77,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,아들꺼로 사줬는데 맘에 들어해서 다행이네요. 감사합니다,29,175,61,-,-,보통이에요,보통이에요,보통이에요,두꺼워요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,코듀로이도 이쁘네요.무탠다드는 가격대비 정말 좋은듯,33,182,80,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,와이드핏으로 펑펑합니다 원단은 좀 얇은감이 있어요,32,185,74,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,굿 좋아요 허리가 약간 작은감이 있는거 같아요 품질은 괜찮고 좋아요,30,170,68,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",-,겨울교복입니다. 이뻐요 좋어요 다른색도 살까 고민즁,31,0,0,-,-,보통이에요,보통이에요,보통이에요,두꺼워요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,기장은 이쁘게 신발 덮는 정도에요! 원단감도 좋고 따뜻합니당,31,174,73,-,-,보통이에요,보통이에요,보통이에요,두꺼워요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,꼭 사세요 ㄹㅇ너무 이뻐요 핏도 그러고 너무 완벽한 바지입니다 무탠다드만 이용중이에요,32,179,89,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,역시 믿고 구매합니다 제가 믿위가 긴편인데 딱맞아요,29,174,71,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,진짜 너무이쁩니다 사길 잘한거같아요 이쁘게 입을게요,36,185,106,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,코듀로이 팬츠 꽃혀서 찾다가 구매했는데 너무 마음에 드네요 허리는 조금 작은데 핏이나 퀄리티가 딱 좋아요😃,31,181,88,-,-,보통이에요,어두워요,선명해요,보통이에요,-,-,-,-,-,-
