상품코드,브랜드명,상품명,카테고리,가격,성별,리뷰내용,옵션,키,몸무게,배송,포장,사이즈,밝기,색감,두께감,보온성,무게감,발색력,지속력,수분감,수납공간
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",-,그냥 기본템으로 이만한게 없죠 너무 좋아요 정말,02. 화이트/화이트/M,0,0,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,여름항상 무탠다드 통풍잘되고 시원해서 많이 입어요,01. 화이트/블랙/L,167,77,빨라요,꼼꼼해요,보통이에요,밝아요,선명해요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,겨울이너웨어로 짱임 가성비 최고 면도 고급스럽고 좋네요 1년은 이걸로 버틸 스 있을듯,01. 화이트/블랙/L,175,72,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,이번에 세번째 구매인데 22년 1월에 생산된 제품들보다 부드럽고 핏도 좋아서 계속 구매할것 같습니당,01. 화이트/블랙/L,177,63,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,믿고 사는 무신사 스탠다드에요 원단 좋고 마음에 들어오,01. 화이트/블랙/L,185,76,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,기본티 좋아요 ~~ 집에서 막입기 좋아요 잘때도 입고,02. 화이트/화이트/L,173,67,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,그냥 무난한 흰티 그자체입니다 워낙 잘만들어서 편하게 잘 입고 다닐게요,02. 화이트/화이트/L,177,67,빨라요,꼼꼼해요,보통이에요,밝아요,선명해요,얇아요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,기본티가 없어서 구경하다가 마침 세일하길래 샀습니다! 촉감도 부드럽고 핏도 이쁘고 잘 산거같아요!!,01. 화이트/블랙/2XL,180,85,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,라지 사이즈는 저한테 좀 많이 큰거같고 m 사이즈는 위아래좀 좀 길어보이는거 말곤 괜찮네요 만족합니다,01. 화이트/블랙/M,173,63,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,너무 만족합니다 여름에 이것만한게 없어요재구매할거에요,03. 블랙/블랙/3XL,179,83,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
